asset_software_id,asset_id,vendor,product,version,cpe,install_source
65,A00011,redhat,enterprise_linux,2016,cpe:2.3:o:redhat:enterprise_linux:2016:*:*:*:*:*:*:*,golden-image
66,A00011,microsoft,sql_server,10.0,cpe:2.3:a:microsoft:sql_server:10.0:*:*:*:*:*:*:*,package-manager
67,A00011,nginx,nginx,11.0,cpe:2.3:a:nginx:nginx:11.0:*:*:*:*:*:*:*,package-manager
68,A00011,kibana,kibana,2019,cpe:2.3:a:elastic:kibana:2019:*:*:*:*:*:*:*,golden-image
69,A00012,elastic,elasticsearch,2.0,cpe:2.3:a:elastic:elasticsearch:2.0:*:*:*:*:*:*:*,golden-image
70,A00012,microsoft,windows_server,2016,cpe:2.3:o:microsoft:windows_server:2016:*:*:*:*:*:*:*,golden-image
71,A00012,redhat,enterprise_linux,5.0,cpe:2.3:o:redhat:enterprise_linux:5.0:*:*:*:*:*:*:*,package-manager
72,A00012,openssl,openssl,10.0,cpe:2.3:a:openssl:openssl:10.0:*:*:*:*:*:*:*,golden-image
73,A00013,microsoft,windows_server,7.0,cpe:2.3:o:microsoft:windows_server:7.0:*:*:*:*:*:*:*,golden-image
74,A00013,redhat,enterprise_linux,1.0,cpe:2.3:o:redhat:enterprise_linux:1.0:*:*:*:*:*:*:*,golden-image
75,A00013,kubernetes,kubernetes,1.0,cpe:2.3:a:kubernetes:kubernetes:1.0:*:*:*:*:*:*:*,golden-image
76,A00013,vmware,esxi,3.1,cpe:2.3:o:vmware:esxi:3.1:*:*:*:*:*:*:*,manual
77,A00013,elastic,elasticsearch,2016,cpe:2.3:a:elastic:elasticsearch:2016:*:*:*:*:*:*:*,golden-image
78,A00013,apache,http_server,1.2,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,manual
79,A00013,ubuntu,linux,7.0,cpe:2.3:o:canonical:ubuntu_linux:7.0:*:*:*:*:*:*:*,manual
80,A00013,nginx,nginx,7.0,cpe:2.3:a:nginx:nginx:7.0:*:*:*:*:*:*:*,package-manager
81,A00013,openssl,openssl,1.0,cpe:2.3:a:openssl:openssl:1.0:*:*:*:*:*:*:*,golden-image
82,A00014,openssl,openssl,1.1,cpe:2.3:a:openssl:openssl:1.1:*:*:*:*:*:*:*,golden-image
83,A00014,redhat,enterprise_linux,12.0,cpe:2.3:o:redhat:enterprise_linux:12.0:*:*:*:*:*:*:*,golden-image
84,A00014,microsoft,sql_server,10.0,cpe:2.3:a:microsoft:sql_server:10.0:*:*:*:*:*:*:*,golden-image
85,A00014,apache,http_server,12.0,cpe:2.3:a:apache:http_server:12.0:*:*:*:*:*:*:*,manual
86,A00014,postgresql,postgresql,1.0,cpe:2.3:a:postgresql:postgresql:1.0:*:*:*:*:*:*:*,package-manager
87,A00014,mysql,mysql,4.0,cpe:2.3:a:oracle:mysql:4.0:*:*:*:*:*:*:*,package-manager
88,A00014,docker,engine,11.0,cpe:2.3:a:docker:docker:11.0:*:*:*:*:*:*:*,golden-image
89,A00015,apache,http_server,1.0,cpe:2.3:a:apache:http_server:1.0:*:*:*:*:*:*:*,manual
90,A00015,microsoft,windows_server,3.0,cpe:2.3:o:microsoft:windows_server:3.0:*:*:*:*:*:*:*,golden-image
91,A00015,openssl,openssl,11.0,cpe:2.3:a:openssl:openssl:11.0:*:*:*:*:*:*:*,package-manager
92,A00015,microsoft,sql_server,11.0,cpe:2.3:a:microsoft:sql_server:11.0:*:*:*:*:*:*:*,golden-image
93,A00015,nginx,nginx,2.1,cpe:2.3:a:nginx:nginx:2.1:*:*:*:*:*:*:*,golden-image
94,A00015,docker,engine,2022,cpe:2.3:a:docker:docker:2022:*:*:*:*:*:*:*,manual
95,A00015,kibana,kibana,2019,cpe:2.3:a:elastic:kibana:2019:*:*:*:*:*:*:*,package-manager
96,A00015,mysql,mysql,2.1,cpe:2.3:a:oracle:mysql:2.1:*:*:*:*:*:*:*,manual
97,A00016,ubuntu,linux,1.2,cpe:2.3:o:canonical:ubuntu_linux:1.2:*:*:*:*:*:*:*,package-manager
98,A00016,kubernetes,kubernetes,5.0,cpe:2.3:a:kubernetes:kubernetes:5.0:*:*:*:*:*:*:*,manual
99,A00016,redhat,enterprise_linux,3.1,cpe:2.3:o:redhat:enterprise_linux:3.1:*:*:*:*:*:*:*,package-manager
100,A00017,microsoft,windows_server,3.0,cpe:2.3:o:microsoft:windows_server:3.0:*:*:*:*:*:*:*,golden-image
101,A00017,ubuntu,linux,9.0,cpe:2.3:o:canonical:ubuntu_linux:9.0:*:*:*:*:*:*:*,golden-image
102,A00017,elastic,elasticsearch,1.2,cpe:2.3:a:elastic:elasticsearch:1.2:*:*:*:*:*:*:*,package-manager
103,A00017,docker,engine,5.0,cpe:2.3:a:docker:docker:5.0:*:*:*:*:*:*:*,package-manager
104,A00017,vmware,esxi,12.0,cpe:2.3:o:vmware:esxi:12.0:*:*:*:*:*:*:*,package-manager
105,A00017,openssl,openssl,1.2,cpe:2.3:a:openssl:openssl:1.2:*:*:*:*:*:*:*,golden-image
106,A00017,kibana,kibana,9.0,cpe:2.3:a:elastic:kibana:9.0:*:*:*:*:*:*:*,golden-image
107,A00018,kubernetes,kubernetes,2019,cpe:2.3:a:kubernetes:kubernetes:2019:*:*:*:*:*:*:*,golden-image
108,A00018,mysql,mysql,3.1,cpe:2.3:a:oracle:mysql:3.1:*:*:*:*:*:*:*,package-manager
109,A00018,elastic,elasticsearch,1.2,cpe:2.3:a:elastic:elasticsearch:1.2:*:*:*:*:*:*:*,golden-image
110,A00018,postgresql,postgresql,5.0,cpe:2.3:a:postgresql:postgresql:5.0:*:*:*:*:*:*:*,package-manager
111,A00018,microsoft,sql_server,11.0,cpe:2.3:a:microsoft:sql_server:11.0:*:*:*:*:*:*:*,package-manager
112,A00019,microsoft,windows_server,2019,cpe:2.3:o:microsoft:windows_server:2019:*:*:*:*:*:*:*,package-manager
113,A00019,apache,http_server,2016,cpe:2.3:a:apache:http_server:2016:*:*:*:*:*:*:*,golden-image
114,A00019,kibana,kibana,1.1,cpe:2.3:a:elastic:kibana:1.1:*:*:*:*:*:*:*,package-manager
115,A00019,kubernetes,kubernetes,2.0,cpe:2.3:a:kubernetes:kubernetes:2.0:*:*:*:*:*:*:*,package-manager
116,A00019,microsoft,sql_server,5.0,cpe:2.3:a:microsoft:sql_server:5.0:*:*:*:*:*:*:*,package-manager
117,A00019,ubuntu,linux,7.0,cpe:2.3:o:canonical:ubuntu_linux:7.0:*:*:*:*:*:*:*,package-manager
118,A00019,nginx,nginx,12.0,cpe:2.3:a:nginx:nginx:12.0:*:*:*:*:*:*:*,package-manager
119,A00020,mysql,mysql,2.1,cpe:2.3:a:oracle:mysql:2.1:*:*:*:*:*:*:*,golden-image
120,A00020,vmware,esxi,9.0,cpe:2.3:o:vmware:esxi:9.0:*:*:*:*:*:*:*,package-manager
121,A00020,postgresql,postgresql,2.0,cpe:2.3:a:postgresql:postgresql:2.0:*:*:*:*:*:*:*,golden-image
122,A00020,ubuntu,linux,2022,cpe:2.3:o:canonical:ubuntu_linux:2022:*:*:*:*:*:*:*,golden-image
123,A00020,elastic,elasticsearch,2.0,cpe:2.3:a:elastic:elasticsearch:2.0:*:*:*:*:*:*:*,golden-image
124,A00020,openssl,openssl,6.0,cpe:2.3:a:openssl:openssl:6.0:*:*:*:*:*:*:*,golden-image
125,A00021,vmware,esxi,2019,cpe:2.3:o:vmware:esxi:2019:*:*:*:*:*:*:*,manual
126,A00021,mysql,mysql,8.0,cpe:2.3:a:oracle:mysql:8.0:*:*:*:*:*:*:*,package-manager
127,A00021,microsoft,windows_server,6.0,cpe:2.3:o:microsoft:windows_server:6.0:*:*:*:*:*:*:*,golden-image
128,A00021,redhat,enterprise_linux,3.0,cpe:2.3:o:redhat:enterprise_linux:3.0:*:*:*:*:*:*:*,golden-image
129,A00021,kibana,kibana,2.1,cpe:2.3:a:elastic:kibana:2.1:*:*:*:*:*:*:*,golden-image
130,A00021,nginx,nginx,3.1,cpe:2.3:a:nginx:nginx:3.1:*:*:*:*:*:*:*,package-manager
131,A00022,elastic,elasticsearch,2022,cpe:2.3:a:elastic:elasticsearch:2022:*:*:*:*:*:*:*,package-manager
132,A00022,openssl,openssl,3.0,cpe:2.3:a:openssl:openssl:3.0:*:*:*:*:*:*:*,golden-image
133,A00022,kibana,kibana,2016,cpe:2.3:a:elastic:kibana:2016:*:*:*:*:*:*:*,package-manager
134,A00023,kubernetes,kubernetes,11.0,cpe:2.3:a:kubernetes:kubernetes:11.0:*:*:*:*:*:*:*,package-manager
135,A00023,nginx,nginx,3.1,cpe:2.3:a:nginx:nginx:3.1:*:*:*:*:*:*:*,golden-image
136,A00023,openssl,openssl,7.0,cpe:2.3:a:openssl:openssl:7.0:*:*:*:*:*:*:*,package-manager
137,A00023,microsoft,sql_server,1.0,cpe:2.3:a:microsoft:sql_server:1.0:*:*:*:*:*:*:*,golden-image
138,A00023,mysql,mysql,5.0,cpe:2.3:a:oracle:mysql:5.0:*:*:*:*:*:*:*,manual
139,A00023,redhat,enterprise_linux,4.0,cpe:2.3:o:redhat:enterprise_linux:4.0:*:*:*:*:*:*:*,package-manager
140,A00024,kibana,kibana,9.0,cpe:2.3:a:elastic:kibana:9.0:*:*:*:*:*:*:*,golden-image
141,A00024,postgresql,postgresql,6.0,cpe:2.3:a:postgresql:postgresql:6.0:*:*:*:*:*:*:*,golden-image
142,A00024,nginx,nginx,11.0,cpe:2.3:a:nginx:nginx:11.0:*:*:*:*:*:*:*,golden-image
143,A00024,elastic,elasticsearch,2019,cpe:2.3:a:elastic:elasticsearch:2019:*:*:*:*:*:*:*,golden-image
144,A00024,microsoft,sql_server,9.0,cpe:2.3:a:microsoft:sql_server:9.0:*:*:*:*:*:*:*,package-manager
145,A00024,apache,http_server,8.0,cpe:2.3:a:apache:http_server:8.0:*:*:*:*:*:*:*,golden-image
146,A00025,elastic,elasticsearch,10.0,cpe:2.3:a:elastic:elasticsearch:10.0:*:*:*:*:*:*:*,package-manager
147,A00025,ubuntu,linux,9.0,cpe:2.3:o:canonical:ubuntu_linux:9.0:*:*:*:*:*:*:*,golden-image
148,A00025,microsoft,sql_server,2.1,cpe:2.3:a:microsoft:sql_server:2.1:*:*:*:*:*:*:*,golden-image
149,A00025,docker,engine,7.0,cpe:2.3:a:docker:docker:7.0:*:*:*:*:*:*:*,package-manager
150,A00026,nginx,nginx,10.0,cpe:2.3:a:nginx:nginx:10.0:*:*:*:*:*:*:*,golden-image
151,A00026,vmware,esxi,4.0,cpe:2.3:o:vmware:esxi:4.0:*:*:*:*:*:*:*,golden-image
152,A00026,apache,http_server,1.1,cpe:2.3:a:apache:http_server:1.1:*:*:*:*:*:*:*,golden-image
153,A00026,microsoft,windows_server,2.1,cpe:2.3:o:microsoft:windows_server:2.1:*:*:*:*:*:*:*,manual
154,A00026,postgresql,postgresql,9.0,cpe:2.3:a:postgresql:postgresql:9.0:*:*:*:*:*:*:*,package-manager
155,A00026,redhat,enterprise_linux,5.0,cpe:2.3:o:redhat:enterprise_linux:5.0:*:*:*:*:*:*:*,package-manager
156,A00026,kibana,kibana,7.0,cpe:2.3:a:elastic:kibana:7.0:*:*:*:*:*:*:*,golden-image
157,A00026,elastic,elasticsearch,10.0,cpe:2.3:a:elastic:elasticsearch:10.0:*:*:*:*:*:*:*,golden-image
158,A00026,mysql,mysql,3.0,cpe:2.3:a:oracle:mysql:3.0:*:*:*:*:*:*:*,package-manager
159,A00027,microsoft,sql_server,1.1,cpe:2.3:a:microsoft:sql_server:1.1:*:*:*:*:*:*:*,golden-image
160,A00027,postgresql,postgresql,5.0,cpe:2.3:a:postgresql:postgresql:5.0:*:*:*:*:*:*:*,golden-image
161,A00027,redhat,enterprise_linux,2.0,cpe:2.3:o:redhat:enterprise_linux:2.0:*:*:*:*:*:*:*,package-manager
162,A00027,nginx,nginx,6.0,cpe:2.3:a:nginx:nginx:6.0:*:*:*:*:*:*:*,golden-image
163,A00027,kibana,kibana,6.0,cpe:2.3:a:elastic:kibana:6.0:*:*:*:*:*:*:*,package-manager
164,A00027,openssl,openssl,1.2,cpe:2.3:a:openssl:openssl:1.2:*:*:*:*:*:*:*,manual
165,A00027,mysql,mysql,11.0,cpe:2.3:a:oracle:mysql:11.0:*:*:*:*:*:*:*,golden-image
166,A00028,apache,http_server,1.2,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,package-manager
167,A00028,vmware,esxi,2019,,package-manager
168,A00028,elastic,elasticsearch,3.0,cpe:2.3:a:elastic:elasticsearch:3.0:*:*:*:*:*:*:*,package-manager
169,A00028,openssl,openssl,6.0,cpe:2.3:a:openssl:openssl:6.0:*:*:*:*:*:*:*,golden-image
170,A00028,mysql,mysql,2016,cpe:2.3:a:oracle:mysql:2016:*:*:*:*:*:*:*,golden-image
171,A00028,kubernetes,kubernetes,8.0,cpe:2.3:a:kubernetes:kubernetes:8.0:*:*:*:*:*:*:*,manual
172,A00028,redhat,enterprise_linux,2.0,cpe:2.3:o:redhat:enterprise_linux:2.0:*:*:*:*:*:*:*,golden-image
173,A00029,apache,http_server,5.0,cpe:2.3:a:apache:http_server:5.0:*:*:*:*:*:*:*,package-manager
174,A00029,kubernetes,kubernetes,6.0,cpe:2.3:a:kubernetes:kubernetes:6.0:*:*:*:*:*:*:*,golden-image
175,A00029,mysql,mysql,2016,cpe:2.3:a:oracle:mysql:2016:*:*:*:*:*:*:*,package-manager
176,A00029,kibana,kibana,3.0,cpe:2.3:a:elastic:kibana:3.0:*:*:*:*:*:*:*,golden-image
177,A00029,elastic,elasticsearch,3.1,cpe:2.3:a:elastic:elasticsearch:3.1:*:*:*:*:*:*:*,golden-image
178,A00029,redhat,enterprise_linux,2016,cpe:2.3:o:redhat:enterprise_linux:2016:*:*:*:*:*:*:*,package-manager
179,A00030,kubernetes,kubernetes,4.0,cpe:2.3:a:kubernetes:kubernetes:4.0:*:*:*:*:*:*:*,package-manager
180,A00030,kibana,kibana,1.1,cpe:2.3:a:elastic:kibana:1.1:*:*:*:*:*:*:*,golden-image
181,A00030,elastic,elasticsearch,2.0,cpe:2.3:a:elastic:elasticsearch:2.0:*:*:*:*:*:*:*,golden-image
182,A00030,ubuntu,linux,1.2,cpe:2.3:o:canonical:ubuntu_linux:1.2:*:*:*:*:*:*:*,package-manager
183,A00030,openssl,openssl,4.0,cpe:2.3:a:openssl:openssl:4.0:*:*:*:*:*:*:*,package-manager
184,A00031,elastic,elasticsearch,11.0,cpe:2.3:a:elastic:elasticsearch:11.0:*:*:*:*:*:*:*,package-manager
185,A00031,redhat,enterprise_linux,2019,cpe:2.3:o:redhat:enterprise_linux:2019:*:*:*:*:*:*:*,golden-image
186,A00031,kibana,kibana,7.0,cpe:2.3:a:elastic:kibana:7.0:*:*:*:*:*:*:*,package-manager
187,A00031,nginx,nginx,1.2,cpe:2.3:a:nginx:nginx:1.2:*:*:*:*:*:*:*,manual
188,A00031,microsoft,windows_server,2016,cpe:2.3:o:microsoft:windows_server:2016:*:*:*:*:*:*:*,manual
189,A00031,openssl,openssl,5.0,cpe:2.3:a:openssl:openssl:5.0:*:*:*:*:*:*:*,golden-image
190,A00032,nginx,nginx,3.0,cpe:2.3:a:nginx:nginx:3.0:*:*:*:*:*:*:*,golden-image
191,A00032,docker,engine,1.1,cpe:2.3:a:docker:docker:1.1:*:*:*:*:*:*:*,package-manager
192,A00032,mysql,mysql,1.2,cpe:2.3:a:oracle:mysql:1.2:*:*:*:*:*:*:*,package-manager
193,A00032,microsoft,sql_server,10.0,cpe:2.3:a:microsoft:sql_server:10.0:*:*:*:*:*:*:*,manual
194,A00032,postgresql,postgresql,10.0,cpe:2.3:a:postgresql:postgresql:10.0:*:*:*:*:*:*:*,package-manager
195,A00033,postgresql,postgresql,11.0,cpe:2.3:a:postgresql:postgresql:11.0:*:*:*:*:*:*:*,package-manager
196,A00033,ubuntu,linux,2.0,cpe:2.3:o:canonical:ubuntu_linux:2.0:*:*:*:*:*:*:*,package-manager
197,A00033,docker,engine,2.1,cpe:2.3:a:docker:docker:2.1:*:*:*:*:*:*:*,package-manager
198,A00033,microsoft,windows_server,1.2,cpe:2.3:o:microsoft:windows_server:1.2:*:*:*:*:*:*:*,golden-image
199,A00033,vmware,esxi,12.0,cpe:2.3:o:vmware:esxi:12.0:*:*:*:*:*:*:*,package-manager
200,A00033,elastic,elasticsearch,1.1,cpe:2.3:a:elastic:elasticsearch:1.1:*:*:*:*:*:*:*,golden-image
201,A00033,nginx,nginx,1.0,cpe:2.3:a:nginx:nginx:1.0:*:*:*:*:*:*:*,golden-image
202,A00034,kubernetes,kubernetes,7.0,cpe:2.3:a:kubernetes:kubernetes:7.0:*:*:*:*:*:*:*,manual
203,A00034,apache,http_server,3.1,cpe:2.3:a:apache:http_server:3.1:*:*:*:*:*:*:*,manual
204,A00034,mysql,mysql,1.1,cpe:2.3:a:oracle:mysql:1.1:*:*:*:*:*:*:*,manual
205,A00034,ubuntu,linux,5.0,cpe:2.3:o:canonical:ubuntu_linux:5.0:*:*:*:*:*:*:*,package-manager
206,A00034,openssl,openssl,3.0,cpe:2.3:a:openssl:openssl:3.0:*:*:*:*:*:*:*,package-manager
207,A00034,microsoft,windows_server,12.0,cpe:2.3:o:microsoft:windows_server:12.0:*:*:*:*:*:*:*,golden-image
208,A00034,kibana,kibana,2019,cpe:2.3:a:elastic:kibana:2019:*:*:*:*:*:*:*,golden-image
209,A00034,microsoft,sql_server,2016,cpe:2.3:a:microsoft:sql_server:2016:*:*:*:*:*:*:*,package-manager
210,A00034,docker,engine,2.1,cpe:2.3:a:docker:docker:2.1:*:*:*:*:*:*:*,golden-image
211,A00035,microsoft,windows_server,5.0,cpe:2.3:o:microsoft:windows_server:5.0:*:*:*:*:*:*:*,package-manager
212,A00035,microsoft,sql_server,2019,cpe:2.3:a:microsoft:sql_server:2019:*:*:*:*:*:*:*,golden-image
213,A00035,postgresql,postgresql,8.0,cpe:2.3:a:postgresql:postgresql:8.0:*:*:*:*:*:*:*,manual
214,A00035,ubuntu,linux,11.0,cpe:2.3:o:canonical:ubuntu_linux:11.0:*:*:*:*:*:*:*,package-manager
215,A00036,postgresql,postgresql,1.1,cpe:2.3:a:postgresql:postgresql:1.1:*:*:*:*:*:*:*,package-manager
216,A00036,elastic,elasticsearch,6.0,cpe:2.3:a:elastic:elasticsearch:6.0:*:*:*:*:*:*:*,manual
217,A00036,kubernetes,kubernetes,5.0,cpe:2.3:a:kubernetes:kubernetes:5.0:*:*:*:*:*:*:*,golden-image
218,A00036,kibana,kibana,9.0,cpe:2.3:a:elastic:kibana:9.0:*:*:*:*:*:*:*,manual
219,A00036,mysql,mysql,12.0,cpe:2.3:a:oracle:mysql:12.0:*:*:*:*:*:*:*,golden-image
220,A00036,microsoft,sql_server,12.0,cpe:2.3:a:microsoft:sql_server:12.0:*:*:*:*:*:*:*,golden-image
221,A00036,apache,http_server,2019,cpe:2.3:a:apache:http_server:2019:*:*:*:*:*:*:*,package-manager
222,A00036,ubuntu,linux,1.2,cpe:2.3:o:canonical:ubuntu_linux:1.2:*:*:*:*:*:*:*,package-manager
223,A00036,microsoft,windows_server,8.0,cpe:2.3:o:microsoft:windows_server:8.0:*:*:*:*:*:*:*,package-manager
224,A00037,microsoft,sql_server,5.0,cpe:2.3:a:microsoft:sql_server:5.0:*:*:*:*:*:*:*,golden-image
225,A00037,docker,engine,7.0,cpe:2.3:a:docker:docker:7.0:*:*:*:*:*:*:*,package-manager
226,A00037,openssl,openssl,10.0,cpe:2.3:a:openssl:openssl:10.0:*:*:*:*:*:*:*,golden-image
227,A00037,elastic,elasticsearch,12.0,cpe:2.3:a:elastic:elasticsearch:12.0:*:*:*:*:*:*:*,package-manager
228,A00038,microsoft,sql_server,12.0,cpe:2.3:a:microsoft:sql_server:12.0:*:*:*:*:*:*:*,golden-image
229,A00038,redhat,enterprise_linux,12.0,cpe:2.3:o:redhat:enterprise_linux:12.0:*:*:*:*:*:*:*,package-manager
